Bulbasaur,Start:3:7:9:13:13:15:19:21:25:27:31:33:37:
1,Tackle:Growl:Leech Seed:Vine Whip:Poison Powder:Sleep Powder:Take Down:Razor Leaf:Sweet Scent:Growth:Double-Edge:Worry Seed:Synthesis:Seed Bomb :Toxic:Venoshock:Hidden Power:Sunny Day:Light Screen:Protect:Safeguard:Frustration:Solar Beam:Return:Double Team:Sludge Bomb:Facade:Rest:Attract:Round:Echoed Voice:Energy Ball:Flash:Swords Dance:Grass Knot:Swagger:Sleep Talk:Substitute:Rock Smash:Nature Power:Confide:Cut:Strength :Amnesia:Charm:Curse:Endure:Giga Drain:Grassy Terrain:Grass Whistle:Ingrain:Leaf Storm:Magical Leaf:Nature Power:Petal Dance:Power Whip:Skull Bash:Sludge:Grass Pledge :Bind:Giga Drain:Grass Pledge:Knock Off:Seed Bomb:Sleep Talk:Snore:Synthesis:Worry Seed:Bullet Seed:Secret Power:Captivate:Natural Gift:Fury Cutter:Mud-slap:String Shot:Headbutt:Defense Curl:Body Slam:Mimic:
Ivysaur,Start:Start:Start:3:7:9:13:13:15:20:23:28:31:36:39:44:
2,Tackle:Growl:Leech Seed:Growl:Leech Seed:Vine Whip:Poison Powder:Sleep Powder:Take Down:Razor Leaf:Sweet Scent:Growth:Double-Edge:Worry Seed:Synthesis:Solar Beam :Toxic:Venoshock:Hidden Power:Sunny Day:Light Screen:Protect:Safeguard:Frustration:Solar Beam:Return:Double Team:Sludge Bomb:Facade:Rest:Attract:Round:Echoed Voice:Energy Ball:Flash:Swords Dance:Grass Knot:Swagger:Sleep Talk:Substitute:Rock Smash:Nature Power:Confide:Cut:Strength :Amnesia:Charm:Curse:Endure:Giga Drain:Grassy Terrain:Grass Whistle:Ingrain:Leaf Storm:Magical Leaf:Nature Power:Petal Dance:Power Whip:Skull Bash:Sludge:Grass Pledge :Bind:Giga Drain:Grass Pledge:Knock Off:Seed Bomb:Sleep Talk:Snore:Synthesis:Worry Seed:Bullet Seed:Secret Power:Captivate:Natural Gift:Fury Cutter:Mud-slap:String Shot:Headbutt:Defense Curl:Body Slam:Mimic:
Venusaur,Start:Start:Start:Start:3:7:9:13:13:15:20:23:28:31:32:39:45:50:53:
3,Tackle:Growl:Leech Seed:Vine Whip:Growl:Leech Seed:Vine Whip:Poison Powder:Sleep Powder:Take Down:Razor Leaf:Sweet Scent:Growth:Double-Edge:Petal Dance:Worry Seed:Synthesis:Petal Blizzard:Solar Beam :Roar:Toxic:Venoshock:Hidden Power:Sunny Day:Hyper Beam:Light Screen:Protect:Safeguard:Frustration:Solar Beam:Earthquake:Return:Double Team:Sludge Bomb:Facade:Rest:Attract:Round:Echoed Voice:Energy Ball:Giga Impact:Flash:Swords Dance:Bulldoze:Grass Knot:Swagger:Sleep Talk:Substitute:Rock Smash:Nature Power:Confide:Cut:Strength :Amnesia:Charm:Curse:Endure:Giga Drain:Grassy Terrain:Grass Whistle:Ingrain:Leaf Storm:Magical Leaf:Nature Power:Petal Dance:Power Whip:Skull Bash:Sludge:Frenzy Plant:Grass Pledge :Seed Bomb :Bind:Block:Frenzy Plant:Giga Drain:Grass Pledge:Knock Off:Outrage:Seed Bomb:Sleep Talk:Snore:Synthesis:Worry Seed:Bullet Seed:Secret Power:Captivate:Natural Gift:Fury Cutter:Mud-slap:String Shot:Headbutt:Defense Curl:Body Slam:Mimic:
Charmander,Start:Start:7:10:16:19:25:28:34:37:43:46:
4,Scratch:Growl:Ember:Smokescreen:Dragon Rage:Scary Face:Fire Fang:Flame Burst:Slash:Flamethrower:Fire Spin:Inferno :Hone Claws:Dragon Claw:Toxic:Hidden Power:Sunny Day:Protect:Frustration:Return:Dig:Brick Break:Double Team:Flamethrower:Fire Blast:Rock Tomb:Aerial Ace:Facade:Flame Charge:Rest:Attract:Round:Echoed Voice:Overheat:Fling:Incinerate:Will-O-Wisp:Shadow Claw:Swords Dance:Rock Slide:Swagger:Sleep Talk:Substitute:Rock Smash:Power-Up Punch:Confide:Cut:Strength :Air Cutter:Ancient Power:Beat Up:Belly Drum:Bite:Counter:Crunch:Dragon Dance:Dragon Pulse:Dragon Rush:Flare Blitz:Focus Punch:Metal Claw:Outrage :Fire Pledge :Fire Pledge:Fire Punch:Heat Wave:Iron Tail:Outrage:Sleep Talk:Snore:Thunderpunch:Secret Power:Endure:Captivate:Natural Gift:Fury Cutter:Swift:Mud-slap:Headbutt:Dynamicpunch:Defense Curl:Mega Punch:Mega Kick:Body Slam:Double-edge:Seismic Toss:Mimic:
Charmeleon,Start:Start:Start:7:10:17:21:28:32:39:43:50:54:
5,Scratch:Growl:Ember:Ember:Smokescreen:Dragon Rage:Scary Face:Fire Fang:Flame Burst:Slash:Flamethrower:Fire Spin:Inferno :Hone Claws:Dragon Claw:Toxic:Hidden Power:Sunny Day:Protect:Frustration:Return:Dig:Brick Break:Double Team:Flamethrower:Fire Blast:Rock Tomb:Aerial Ace:Facade:Flame Charge:Rest:Attract:Round:Echoed Voice:Overheat:Fling:Incinerate:Will-O-Wisp:Shadow Claw:Swords Dance:Rock Slide:Swagger:Sleep Talk:Substitute:Rock Smash:Power-Up Punch:Confide:Cut:Strength :Move :Air Cutter:Ancient Power:Beat Up:Belly Drum:Bite:Counter:Crunch:Dragon Dance:Dragon Pulse:Dragon Rush:Flare Blitz:Focus Punch:Metal Claw:Outrage :Fire Pledge :Fire Pledge:Fire Punch:Heat Wave:Iron Tail:Outrage:Sleep Talk:Snore:Thunderpunch:Secret Power:Endure:Captivate:Natural Gift:Fury Cutter:Swift:Mud-slap:Headbutt:Dynamicpunch:Defense Curl:Mega Punch:Mega Kick:Body Slam:Double-edge:Seismic Toss:Mimic:
